fixIdx,tickLead,togo,area
1196,3435.91834042907,178.656,104378.88710472769
1197,3440.91834042907,178.576,98336.49124706798
1198,3445.91834042907,178.48,118117.03862018771
1199,3450.91834042907,178.38,123149.4718965448
1200,3455.91834042907,178.271,134348.68379153908
1201,3460.91834042907,178.15,149258.82107347887
1202,3465.91834042907,177.978,212301.41747933207
1203,3470.91834042907,177.84,170432.1006435676
1204,3475.91834042907,177.699,174251.25884812043
1205,3480.91834042907,177.551,183016.2435847696
1206,3485.91834042907,177.416,167047.1066988453
1207,3490.91834042907,177.268,183249.58633719338
1208,3495.91834042907,177.124,178405.27092019957
1209,3500.91834042907,176.99,166123.04242514458
1210,3505.91834042907,176.844,181114.91406985605
1211,3510.91834042907,176.7,178742.0323798131
1212,3515.91834042907,176.576,154019.10638653816
1213,3520.91834042907,176.453,152887.31253879823
1214,3525.91834042907,176.329,154241.18497267686
1215,3530.91834042907,176.225,129463.29599754626
1216,3535.91834042907,176.109,144515.61329656324
1217,3540.91834042907,175.989,149610.03189941304
1218,3545.91834042907,175.881,134751.846936257
1219,3550.91834042907,175.771,137355.628987359
1220,3555.91834042907,175.66,138712.25315076896
1221,3560.91834042907,175.535,156322.08957087342
1222,3565.91834042907,175.416,148924.0502915385
1223,3570.91834042907,175.307,136511.9480490343
1224,3575.91834042907,175.188,149147.63834871346
1225,3580.91834042907,175.065,154269.9691532953
1226,3585.91834042907,174.945,150612.87340003517
1227,3590.91834042907,174.84,131885.18402922028
1228,3595.91834042907,174.736,130732.86197649545
1229,3600.91834042907,174.638,123290.5899383493
1230,3605.91834042907,174.562,95698.18802030689
1231,3610.91834042907,174.491,89488.53344320439
1232,3615.91834042907,174.413,98405.45306663075
1233,3620.91834042907,174.334,99759.96826910951
1234,3625.91834042907,174.247,109961.58296917041
1235,3630.91834042907,174.166,102469.79129127887
1236,3635.91834042907,174.079,110158.56327424296
1237,3641.91834042907,173.978,128027.11235328566
1238,3646.91834042907,173.864,144614.85610835976
1239,3651.91834042907,173.746,149794.31344934646
1240,3656.91834042907,173.625,153707.19308082742
1241,3661.91834042907,173.502,156351.53951423685
1242,3666.91834042907,173.379,156454.06900412828
1243,3671.91834042907,173.243,173096.4043434784
1244,3676.91834042907,173.13,143915.13170522594
1245,3681.91834042907,173.017,144016.80361964807
1246,3686.91834042907,172.918,126267.97551352337
1247,3691.91834042907,172.812,135299.13435066654
1248,3696.91834042907,172.718,120075.24225186367
1249,3701.91834042907,172.625,118894.1374457944
1250,3706.91834042907,172.534,116432.3366992488
1251,3711.91834042907,172.453,103725.64937326363
1254,3726.91834042907,172.44,16710.044613419566
1255,3731.91834042907,172.346,120951.04051077107
1256,3736.91834042907,172.341,6440.335860031518
1257,3741.91834042907,172.329,15476.723932748839
1258,3746.91834042907,172.244,109742.38593192688
1260,3756.91834042907,172.225,24588.696172383028
1261,3761.91834042907,172.167,75143.32570361938
1263,3771.91834042907,172.116,66228.97546187908
1265,3781.91834042907,172.1,20828.748855531583
1266,3786.91834042907,172.012,114674.91586862408
1267,3791.91834042907,171.977,45653.236930200495
1269,3801.91834042907,171.941,47071.73346493444
1270,3806.91834042907,171.868,95546.25350244403
1272,3816.91834042907,171.823,59032.82166030194
1273,3821.91834042907,171.751,94544.04757641316
1275,3831.91834042907,171.681,92120.23656430758
1276,3836.91834042907,171.663,23712.892032173917
1277,3841.91834042907,171.64,30335.668116591773
1278,3846.91834042907,171.542,129378.92673068255
1279,3851.91834042907,171.531,14536.380988860537
1281,3861.91834042907,171.473,76829.89942954127
1282,3866.91834042907,171.37,136551.82611254702
1283,3871.91834042907,171.261,144603.67856606303
1284,3876.91834042907,171.144,155314.71824947707
1285,3881.91834042907,171.028,154080.91643624875
1286,3886.91834042907,170.912,154174.77144983335
1287,3891.91834042907,170.837,99754.44006926975
1288,3896.91834042907,170.779,77212.4800354633
1289,3901.91834042907,170.72,78617.5714689497
1291,3911.91834042907,170.718,2671.355148651597
1292,3916.91834042907,170.635,110975.30157961807
1294,3926.91834042907,170.611,32161.084223954622
1295,3931.91834042907,170.545,88532.23720093306
1297,3941.91834042907,170.512,44365.821833229245
1298,3946.91834042907,170.469,57870.43899343589
1300,3956.91834042907,170.39,106551.34705943511
1301,3961.91834042907,170.369,28351.245967073548
