fixIdx,time,lat,lng,alt,tickLead,tickRace,zoneIdx,legIdx,togo
670,,,,1897.0,2967.107668183208,-4941.66759380786,656,1,134.094
678,,,,1941.0,2983.107668183208,-4925.66759380786,664,1,134.07
679,,,,1947.0,2985.107668183208,-4923.66759380786,665,1,134.031
680,,,,1954.0,2987.107668183208,-4921.66759380786,666,1,134.011
687,,,,1994.0,3001.107668183208,-4907.66759380786,673,1,133.996
688,,,,1999.0,3003.107668183208,-4905.66759380786,674,1,133.977
695,,,,2029.0,3017.107668183208,-4891.66759380786,681,1,133.953
696,,,,2036.0,3019.107668183208,-4889.66759380786,682,1,133.937
707,,,,2105.0,3041.107668183208,-4867.66759380786,693,1,133.931
708,,,,2115.0,3043.107668183208,-4865.66759380786,694,1,133.886
709,,,,2125.0,3045.107668183208,-4863.66759380786,695,1,133.848
710,,,,2128.0,3047.107668183208,-4861.66759380786,696,1,133.817
711,,,,2135.0,3049.107668183208,-4859.66759380786,697,1,133.789
712,,,,2140.0,3051.107668183208,-4857.66759380786,698,1,133.772
713,,,,2139.0,3053.107668183208,-4855.66759380786,699,1,133.759
714,,,,2135.0,3055.107668183208,-4853.66759380786,700,1,133.75
715,,,,2134.0,3057.107668183208,-4851.66759380786,701,1,133.748
723,,,,2129.0,3073.107668183208,-4835.66759380786,709,1,133.736
724,,,,2127.0,3075.107668183208,-4833.66759380786,710,1,133.719
742,,,,2182.0,3111.107668183208,-4797.66759380786,728,1,133.717
750,,,,2214.0,3127.107668183208,-4781.66759380786,736,1,133.698
751,,,,2216.0,3129.107668183208,-4779.66759380786,737,1,133.67
752,,,,2222.0,3131.107668183208,-4777.66759380786,738,1,133.65
753,,,,2226.0,3133.107668183208,-4775.66759380786,739,1,133.641
762,,,,2249.0,3151.107668183208,-4757.66759380786,2,2,133.638
763,,,,2254.0,3153.107668183208,-4755.66759380786,3,2,133.605
764,,,,2256.0,3155.107668183208,-4753.66759380786,4,2,133.581
765,,,,2259.0,3157.107668183208,-4751.66759380786,5,2,133.557
766,,,,2261.0,3159.107668183208,-4749.66759380786,6,2,133.537
767,,,,2264.0,3161.107668183208,-4747.66759380786,7,2,133.52
768,,,,2260.0,3163.107668183208,-4745.66759380786,8,2,133.507
769,,,,2258.0,3165.107668183208,-4743.66759380786,9,2,133.485
770,,,,2254.0,3167.107668183208,-4741.66759380786,10,2,133.463
771,,,,2249.0,3169.107668183208,-4739.66759380786,11,2,133.441
772,,,,2243.0,3171.107668183208,-4737.66759380786,12,2,133.417
773,,,,2238.0,3173.107668183208,-4735.66759380786,13,2,133.394
774,,,,2236.0,3175.107668183208,-4733.66759380786,14,2,133.368
775,,,,2235.0,3177.107668183208,-4731.66759380786,15,2,133.346
776,,,,2228.0,3179.107668183208,-4729.66759380786,16,2,133.33
777,,,,2226.0,3181.107668183208,-4727.66759380786,17,2,133.325
778,,,,2222.0,3183.107668183208,-4725.66759380786,18,2,133.316
779,,,,2223.0,3185.107668183208,-4723.66759380786,19,2,133.302
